R, Number of Edges, Isolated Nodes, Homophily ER, Homophily DR, Homophily IC, Homophily PAM
2.144,22,1966,1.0,0.5454545617103577,1.0,1.0
2.68,1680,1673,0.9642857313156128,0.738095223903656,0.7666666507720947,0.675000011920929
2.9480000000000004,6384,1423,0.9711779356002808,0.7341791987419128,0.7019110321998596,0.6453633904457092
3.216,13784,1178,0.9550203084945679,0.7197475433349609,0.6294979453086853,0.622170627117157
3.3768000000000002,18548,1040,0.9421501159667969,0.7049816846847534,0.5910610556602478,0.6030299663543701
3.4840000000000004,21734,933,0.9325941205024719,0.696098268032074,0.5655654668807983,0.5817613005638123
3.752,29694,701,0.9096786975860596,0.6772412061691284,0.5040411949157715,0.5407489538192749
4.288,45131,267,0.8609381318092346,0.632514238357544,0.4245862066745758,0.4600163996219635
4.824000000000001,57380,44,0.8212094902992249,0.6046183109283447,0.40531542897224426,0.43222376704216003
5.36,62175,5,0.7784640192985535,0.5957860946655273,0.3792521059513092,0.4056614339351654
6.7,63359,0,0.7284048199653625,0.5909342169761658,0.34366071224212646,0.370665580034256
8.040000000000001,63360,0,0.7220012545585632,0.5906723737716675,0.340009480714798,0.3658301830291748
10.72,63360,0,0.7211174368858337,0.590530276298523,0.33963069319725037,0.36541983485221863
13.4,63360,0,0.7211174368858337,0.590530276298523,0.33963069319725037,0.36541983485221863
